Date,Words,Pages
2016-08-09-01h12,     3677,   101
2016-08-09-02h31,     3677,   101
2016-08-09-23h14,     3678,   101
2016-08-26-11h48,     3433,    93
2017-01-31-15h23,     3604,    93
2017-02-05-16h18,     3667,    91
2017-02-05-18h13,     3667,    91
2017-02-07-00h58,     3671,    92
2017-02-07-01h07,     3671,    92
2017-02-07-11h04,     3671,    92
2017-02-07-11h10,     3671,   101
2017-02-07-11h12,     3671,   101
2017-02-07-11h17,     3671,   101
2017-02-07-11h18,     3671,    92
2017-03-17-19h38,    15166,    95
2017-03-17-19h44,    15166,    99
2017-09-13-21h16,    18504,   124
2020-01-21-22h55,    22931,   143
2020-04-13-17h33,    28120,   168
